origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Flores,El Tiempo,5,7,Lluvia,1,1,Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,7,5,31.45,0.343,1,7,0.0
Tercer Milenio,Cardio Infantil,6,22,Lluvia fuerte,0,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,22,20,99.36,0.173,1,22,0.0
Heroes,Flores,5,13,Lluvia fuerte,0,1,Heroes|Calle 76|Calle 72|Flores,4,2,12.6,0.25,1,4,5.62
Calle 106,Tercer Milenio,5,10,Lluvia fuerte,0,1,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,15,13,68.64,0.187,1,15,0.0
Tercer Milenio,Calle 142,1,11,Lluvia fuerte,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,20,18,113.7,0.48,1,20,0.0
Av. Jimenez,Calle 63,1,9,Normal,1,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63,6,4,30.29,0.7,1,6,0.39
Tercer Milenio,Marly,4,14,Lluvia,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly,5,3,22.8,0.5,1,5,2.86
Ricaurte,Calle 100,6,17,Normal,1,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,17,15,66.98,0.388,1,17,0.0
Av. Rojas,Calle 106,4,19,Normal,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,15,13,74.49,0.687,1,15,0.0
Salitre El Greco,Toberin,0,21,Lluvia fuerte,0,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,21,19,117.9,0.481,1,21,0.0
Virrey,Calle 45,0,21,Lluvia,0,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,8,6,30.36,0.475,1,8,0.0
Calle 106,Av. Jimenez,1,9,Normal,1,0,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,14,12,69.68,0.7,1,14,0.0
Calle 72,Pepe Sierra,1,12,Lluvia,0,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,8,6,33.36,0.525,1,8,0.0
Calle 127,Calle 45,6,15,Lluvia fuerte,0,1,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,12,10,52.08,0.2,1,12,0.0
Santa Isabel,Calle 45,5,10,Normal,0,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45,8,6,23.44,0.125,1,8,0.0
Calle 106,Flores,6,13,Lluvia,0,1,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores,8,6,26.78,0.2,1,8,0.0
El Tiempo,Calle 100,5,16,Lluvia,1,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,13,11,60.03,0.4,1,13,0.0
Calle 142,Ricaurte,2,19,Normal,1,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,23,21,112.58,0.674,1,23,0.0
Flores,Marly,1,20,Normal,0,0,Flores|Calle 63|Calle 45|Marly,4,2,10.4,0.4,1,4,5.28
Calle 72,Ricaurte,5,6,Lluvia,1,1,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,12,10,54.79,0.367,1,12,0.0
Ricaurte,Alcala,4,20,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,22,20,101.52,0.482,1,22,0.0
Calle 26,Calle 106,6,13,Normal,0,1,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,12,10,35.52,0.2,1,12,0.0
Calle 100,Salitre El Greco,1,15,Lluvia fuerte,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,12,10,68.7,0.517,1,12,0.0
Marly,Calle 76,5,19,Normal,1,1,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,6,4,17.89,0.367,1,6,2.01
Av. Rojas,Calle 45,0,11,Lluvia,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45,6,4,26.64,0.467,1,6,1.27
Calle 63,Marly,2,21,Lluvia,0,0,Calle 63|Calle 45|Marly,3,1,8.88,0.433,1,3,6.76
Calle 63,Alcala,5,6,Lluvia fuerte,1,1,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,13,11,72.54,0.4,1,13,0.0
Alcala,Portal El Dorado,1,19,Lluvia,1,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,20,18,123.4,0.7,1,20,0.0
Santa Isabel,Calle 106,6,12,Normal,0,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,17,15,51.52,0.165,1,17,0.0
Calle 100,Calle 85,5,6,Normal,1,1,Calle 100|Virrey|Calle 85,3,1,9.36,0.4,1,3,6.83
Av. Jimenez,Calle 106,3,5,Lluvia fuerte,0,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,14,12,81.6,0.5,1,14,0.0
Portal Norte,Comuneros,6,22,Normal,0,1,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,25,23,75.2,0.176,1,25,0.0
Calle 26,Pepe Sierra,0,19,Lluvia,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,13,11,73.94,0.7,1,13,0.0
Calle 142,Mazuren,1,18,Lluvia fuerte,1,0,Calle 142|Mazuren,2,0,7.8,0.5,1,2,8.11
Portal Norte,Toberin,5,17,Lluvia,1,1,Portal Norte|Toberin,2,0,5.99,0.5,1,2,8.2
Mazuren,Calle 100,6,16,Lluvia fuerte,1,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,8,6,41.18,0.35,1,8,0.0
Calle 26,Calle 45,2,21,Lluvia,0,0,Calle 26|Marly|Calle 45,3,1,11.16,0.5,1,3,6.44
Marly,Calle 85,3,7,Lluvia fuerte,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,8,6,49.34,0.7,1,8,0.0
Mazuren,Calle 142,5,15,Lluvia,0,1,Mazuren|Calle 142,2,0,3.84,0.0,1,2,9.81
Comuneros,Salitre El Greco,6,12,Normal,0,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,6,4,17.6,0.167,1,6,2.62
Ricaurte,Calle 72,1,15,Normal,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,12,10,44.4,0.467,1,12,0.0
Calle 76,Calle 63,4,11,Lluvia,0,0,Calle 76|Calle 72|Flores|Calle 63,4,2,11.88,0.5,1,4,4.91
Calle 100,Ricaurte,6,6,Normal,1,1,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,17,15,66.77,0.388,1,17,0.0
Pepe Sierra,Calle 85,1,22,Lluvia fuerte,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,5,3,24.45,0.46,1,5,2.9
Prado,Marly,5,14,Lluvia fuerte,0,1,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,14,12,59.64,0.2,1,14,0.0
Tercer Milenio,Salitre El Greco,0,15,Lluvia,0,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,5,3,22.8,0.5,1,5,2.86
Calle 26,Toberin,4,14,Lluvia fuerte,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,20,18,109.65,0.48,1,20,0.0
Tercer Milenio,Virrey,6,19,Lluvia,1,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,13,11,59.4,0.385,1,13,0.0
Calle 76,Tercer Milenio,6,8,Lluvia fuerte,1,1,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,10,8,56.47,0.38,1,10,0.0
Marly,Calle 63,1,19,Lluvia fuerte,1,0,Marly|Calle 45|Calle 63,3,1,14.24,0.633,1,3,5.89
Calle 85,Heroes,4,8,Normal,1,0,Calle 85|Heroes,2,0,5.72,0.8,1,2,7.31
Av. Rojas,Calle 142,5,6,Lluvia,1,1,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,20,18,94.47,0.38,1,20,0.0
Tercer Milenio,Heroes,4,17,Normal,1,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,11,9,51.35,0.7,1,11,0.0
Marly,Alcala,2,22,Normal,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,15,13,53.8,0.487,1,15,0.0
Salitre El Greco,Santa Isabel,4,16,Normal,1,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,7,5,33.67,0.643,1,7,0.0
Prado,Pepe Sierra,1,13,Lluvia fuerte,0,0,Prado|Calle 127|Pepe Sierra,3,1,12.15,0.567,1,3,6.19
Calle 45,Calle 100,1,19,Lluvia,1,0,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,9,7,47.27,0.7,1,9,0.0
Santa Isabel,Calle 127,3,8,Lluvia,1,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,19,17,112.01,0.679,1,19,0.0
Av. Rojas,Portal El Dorado,5,12,Lluvia,0,1,Av. Rojas|Portal El Dorado,2,0,6.34,0.3,1,2,8.78
Tercer Milenio,Salitre El Greco,1,6,Normal,1,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,5,3,24.7,0.7,1,5,2.17
Portal Norte,Cardio Infantil,3,5,Normal,0,0,Portal Norte|Toberin|Cardio Infantil,3,1,8.1,0.567,1,3,6.4
Tercer Milenio,Profamilia,0,19,Lluvia,1,0,Tercer Milenio|Av. Jimenez|Profamilia,3,1,14.04,0.633,1,3,5.9
Calle 26,Av. Rojas,5,15,Lluvia,0,1,Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,4,2,12.77,0.2,1,4,5.76
Calle 142,Profamilia,5,17,Lluvia,1,1,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia,18,16,83.62,0.378,1,18,0.0
Virrey,Comuneros,3,14,Lluvia,0,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,14,12,60.24,0.471,1,14,0.0
Virrey,Prado,1,16,Normal,1,0,Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,6,4,27.04,0.7,1,6,0.55
Marly,Calle 100,0,18,Lluvia,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,10,8,52.42,0.7,1,10,0.0
Salitre El Greco,Profamilia,5,14,Lluvia,0,1,Salitre El Greco|Calle 26|Profamilia,3,1,9.89,0.2,1,3,7.41
Alcala,El Tiempo,2,21,Lluvia fuerte,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,18,16,102.75,0.489,1,18,0.0
Calle 26,Virrey,0,20,Normal,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,10,8,34.6,0.5,1,10,0.0
Calle 85,Tercer Milenio,5,17,Lluvia,1,1,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,12,10,55.16,0.4,1,12,0.0
Prado,Calle 72,5,20,Lluvia fuerte,0,1,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,10,8,42.84,0.24,1,10,0.0
Ricaurte,Salitre El Greco,6,21,Normal,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,8,6,24.64,0.175,1,8,0.0
Calle 72,Av. Jimenez,1,5,Normal,0,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,8,6,29.3,0.5,1,8,0.0
Tercer Milenio,Prado,2,9,Normal,1,0,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,18,16,88.92,0.7,1,18,0.0
Mazuren,Prado,5,5,Normal,0,1,Mazuren|Calle 142|Alcala|Prado,4,2,8.8,0.05,1,4,6.41
Ricaurte,Virrey,4,11,Normal,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,16,14,59.4,0.475,1,16,0.0
Alcala,Calle 100,2,8,Lluvia fuerte,1,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,6,4,37.83,0.7,1,6,0.01
Virrey,Calle 63,3,8,Lluvia,1,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,7,5,32.6,0.7,1,7,0.0
Tercer Milenio,Salitre El Greco,5,15,Lluvia fuerte,0,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,5,3,22.8,0.2,1,5,3.76
Calle 72,Ricaurte,0,11,Lluvia fuerte,0,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,12,10,65.85,0.467,1,12,0.0
Toberin,Calle 142,5,11,Normal,0,1,Toberin|Cardio Infantil|Mazuren|Calle 142,4,2,8.48,0.1,1,4,6.28
Calle 127,Mazuren,6,12,Lluvia fuerte,0,1,Calle 127|Prado|Alcala|Calle 142|Mazuren,5,3,18.0,0.12,1,5,4.24
Tercer Milenio,Salitre El Greco,6,5,Normal,0,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,5,3,15.2,0.2,1,5,4.14
Mazuren,Cardio Infantil,6,16,Lluvia,1,1,Mazuren|Cardio Infantil,2,0,3.74,0.3,1,2,8.91
Calle 76,Virrey,1,8,Normal,1,0,Calle 76|Heroes|Calle 85|Virrey,4,2,14.82,0.7,1,4,4.16
Mazuren,Flores,3,12,Normal,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores,14,12,50.3,0.471,1,14,0.0
Calle 127,Av. Jimenez,1,16,Lluvia fuerte,1,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,16,14,120.32,0.712,1,16,0.0
Prado,Calle 85,0,13,Lluvia fuerte,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,7,5,36.6,0.5,1,7,0.0
Calle 63,Prado,4,22,Normal,0,0,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,12,10,42.1,0.517,1,12,0.0
Heroes,Calle 142,6,22,Lluvia,0,1,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,10,8,34.85,0.18,1,10,0.0
El Tiempo,Calle 106,5,16,Lluvia fuerte,1,1,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,14,12,82.52,0.386,1,14,0.0
Ricaurte,Calle 45,6,19,Normal,1,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45,9,7,35.46,0.356,1,9,0.0
Calle 26,Alcala,1,10,Lluvia fuerte,0,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,16,14,89.7,0.5,1,16,0.0
Mazuren,Virrey,4,9,Lluvia,1,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,9,7,50.54,0.633,1,9,0.0
Cardio Infantil,Virrey,4,6,Lluvia fuerte,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,10,8,69.62,0.64,1,10,0.0
Heroes,Marly,4,9,Lluvia fuerte,1,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly,7,5,40.76,0.7,1,7,0.0
Calle 106,Calle 100,1,22,Lluvia,0,0,Calle 106|Calle 100,2,0,4.8,0.5,1,2,8.26
Calle 127,Calle 45,1,8,Lluvia fuerte,1,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,12,10,84.63,0.7,1,12,0.0
Calle 72,Av. Rojas,0,18,Normal,1,0,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,9,7,42.64,0.678,1,9,0.0
Calle 63,Calle 72,0,13,Lluvia,0,0,Calle 63|Flores|Calle 72,3,1,7.56,0.5,1,3,6.62
Cardio Infantil,Calle 72,6,19,Lluvia fuerte,1,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,14,12,78.0,0.386,1,14,0.0
Av. Rojas,Cardio Infantil,3,11,Normal,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,22,20,82.7,0.473,1,22,0.0
Calle 127,Virrey,6,12,Lluvia fuerte,0,1,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,5,3,21.72,0.2,1,5,3.81
Portal El Dorado,Profamilia,0,17,Lluvia fuerte,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia,6,4,48.56,0.7,1,6,0.0
El Tiempo,Marly,0,13,Lluvia fuerte,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly,4,2,21.75,0.5,1,4,4.41
Prado,Calle 85,3,20,Normal,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,7,5,24.4,0.5,1,7,0.0
El Tiempo,Av. Jimenez,3,17,Lluvia fuerte,1,0,El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez,5,3,35.69,0.7,1,5,1.62
Profamilia,Flores,4,22,Lluvia fuerte,0,0,Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores,6,4,30.9,0.433,1,6,1.16
Profamilia,Calle 45,3,13,Lluvia,0,0,Profamilia|Calle 26|Marly|Calle 45,4,2,15.96,0.45,1,4,4.85
Cardio Infantil,Portal El Dorado,6,13,Lluvia fuerte,0,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,23,21,107.28,0.183,1,23,0.0
Toberin,Portal El Dorado,0,8,Lluvia fuerte,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,24,22,180.77,0.683,1,24,0.0
Virrey,Ricaurte,2,7,Normal,1,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,16,14,75.66,0.675,1,16,0.0
Ricaurte,Pepe Sierra,0,15,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,19,17,86.64,0.479,1,19,0.0
Calle 63,Av. Rojas,5,10,Lluvia,0,1,Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,7,5,25.15,0.171,1,7,0.73
Comuneros,Santa Isabel,6,10,Lluvia,0,1,Comuneros|Santa Isabel,2,0,3.84,0.0,1,2,9.81
Alcala,Virrey,2,19,Normal,1,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,7,5,33.02,0.671,1,7,0.0
Heroes,Alcala,0,8,Lluvia fuerte,1,0,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,9,7,64.94,0.7,1,9,0.0
Tercer Milenio,Portal El Dorado,5,6,Lluvia fuerte,1,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,8,6,51.32,0.4,1,8,0.0
Calle 72,Prado,3,9,Lluvia,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,10,8,55.85,0.74,1,10,0.0
Marly,Heroes,4,14,Normal,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,7,5,20.5,0.5,1,7,0.0
Santa Isabel,Pepe Sierra,6,12,Normal,0,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,18,16,53.92,0.167,1,18,0.0
Prado,Av. Jimenez,1,10,Lluvia fuerte,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,17,15,97.5,0.512,1,17,0.0
Comuneros,Prado,5,20,Normal,0,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,19,17,57.12,0.189,1,19,0.0
Salitre El Greco,Mazuren,3,16,Normal,1,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,19,17,93.99,0.679,1,19,0.0
Heroes,Cardio Infantil,0,16,Normal,1,0,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,12,10,56.29,0.667,1,12,0.0
